GKShaman#1286,21,1600,=HYPERLINK("https://steamcommunity.com/profiles/76561198087087009/")
Fluffydragon#7084,2nd luitenant  level 20 (if you mean vanilla  i didn't play alot of complete edition),1328,=HYPERLINK("https://steamcommunity.com/profiles/76561198082710072/")
Nightwing_107#9338,PR20,1500,=HYPERLINK("https://steamcommunity.com/profiles/76561198314618383/home")
cheeesemonger#6704,19,1600,=HYPERLINK("https://steamcommunity.com/profiles/76561198410310891")
Evoked#6176,1v1 900~ team 400~ didnt play legacy,1600,=HYPERLINK("https://steamcommunity.com/profiles/76561198170745654/")
ImSoloDoloMan#4177,MS,1554,=HYPERLINK("https://steamcommunity.com/id/ImSoloDoloMan/")
FitzBro#9038,1550ish,1550ish,=HYPERLINK("https://steamcommunity.com/id/FitzBro/")
SEPOY GUY#5098,00,1496,=HYPERLINK("76561198985636228")
ThomasFHG#5246,,1442,=HYPERLINK("https://steamcommunity.com/id/Thomas_HG")
Molibo13#9954,18,1364,=HYPERLINK("https://steamcommunity.com/profiles/76561198989578080")
Jesus420#6320,,1337 (Not a troll),=HYPERLINK("76561198025551593")
HolyHandGrenade#9531,,1313,=HYPERLINK("https://steamcommunity.com/profiles/76561198116499890/")
EstiPesti#6900,,1279,=HYPERLINK("76561199098266500")
Tripklopsis#1920,15,1100,=HYPERLINK("https://steamcommunity.com/id/Tripklopsis/")
chompyyy#2229,1000,1000,=HYPERLINK("https://steamcommunity.com/profiles/76561198058832179/")
