chompyyy#2229,0,1000
Tripklopsis#1920,15,1100
EstiPesti#6900,0,1279
HolyHandGrenade#9531,0,1313
Jesus420#6320,0,1337
Molibo13#9954,18,1364
ThomasFHG#5246,0,1442
SEPOY GUY#5098,0,1496
FitzBro#9038,0,1550
ImSoloDoloMan#4177,0,1554
Evoked#6176,0,1600
cheeesemonger#6704,19,1600
Nightwing_107#9338,20,1500
Fluffydragon#7084,20,1328
GKShaman#1286,21,1600
Hiver#6844,21,1522
ggbyers#7732,21,0
FrankTh3Tank95#8053,21,1610
yayomfg#2101,22,1550
Shaun#5242,0,1637
coxinga#3538,22,1713
BrendanL#4812,22,1468
Stanleo#9677,0,1720
Guusjes4liv#2366,23,1739
abe#2475,23,1850
Adribird#6230,0,1900
The7apples#7916,23,1980
lcomontenegro#2631,24,1548
Oprah#6145,24,1640
Genesis#0955,25,1800
Kugelwilli#4652,25,1728
Purple#8192,25,1620
boisenberry#0810,25,1800
Doppelsolna#6261,25,1700
martin#5389,26,1578
Knarloc#8062,26,1983
challenger_marco#8536,26,1800
Misha1#0586,27,1900
Black_Duck#6909,28,1724
Needs to be fixed:https://steamcommunity.com/profiles/76561198006634812/,0,2000
roberto#0549,0,2012
Taddy#0618,28,2100
JaiLeD#9326,28,2050
brutalglory#5248,28,1882
Hosky#8249,28,1908
david#6673,28,1950
MaxMagous#3353,28,2004
MRT44#8992,29,1920
carp#5947,29,1874
Herbiemaster#1674,29,2000
A_Singh#1951,30,1950
Matt#3271,30,1770
Peachrocks#5514,30,1623
enki_#0336,30,1875
Kyo_3z#9606,30,2073
Brochit#2264,31,1569
antz_is_here#6963,31,2080
sircallen#1517,31,1950
Zanerre#8833,31,1733
yayoshi#3505,31,1869
don_artie#2656,32,2200
Narida#6549,32,1953
WickedCossack#1242,33,2300
theonlybaus#5720,33,2272
n0eL#6983,33,1800
MS#1467,33,1550
wop#7118,33,2100
Kaister#5974,34,2250
pauleebe#3957,34,1100
smolen#2194,35,1800
Adjeking#3418,40,1760
aykin#6177,40,2200
Keaton#3947,46,1931
Kaiserklein#2520,47,0
